Address_Index,Input_Z_Sample,Output_Sigmoid,LUT_Value_Q1_7_8
169,-3.34799609,0.03396085,9
170,-3.33822092,0.03428301,9
171,-3.32844575,0.03460812,9
172,-3.31867058,0.03493620,9
173,-3.30889541,0.03526728,9
174,-3.29912023,0.03560138,9
175,-3.28934506,0.03593853,9
176,-3.27956989,0.03627875,9
177,-3.26979472,0.03662207,9
178,-3.26001955,0.03696851,9
179,-3.25024438,0.03731811,10
180,-3.24046921,0.03767088,10
181,-3.23069404,0.03802685,10
182,-3.22091887,0.03838605,10
183,-3.21114370,0.03874851,10
184,-3.20136852,0.03911426,10
185,-3.19159335,0.03948331,10
186,-3.18181818,0.03985570,10
187,-3.17204301,0.04023145,10
188,-3.16226784,0.04061060,10
189,-3.15249267,0.04099317,10
190,-3.14271750,0.04137919,11
191,-3.13294233,0.04176868,11
192,-3.12316716,0.04216168,11
193,-3.11339198,0.04255822,11
194,-3.10361681,0.04295831,11
195,-3.09384164,0.04336200,11
196,-3.08406647,0.04376930,11
197,-3.07429130,0.04418026,11
198,-3.06451613,0.04459489,11
199,-3.05474096,0.04501323,12
200,-3.04496579,0.04543531,12
201,-3.03519062,0.04586116,12
202,-3.02541544,0.04629081,12
203,-3.01564027,0.04672428,12
204,-3.00586510,0.04716161,12
205,-2.99608993,0.04760283,12
206,-2.98631476,0.04804797,12
207,-2.97653959,0.04849706,12
208,-2.96676442,0.04895013,13
209,-2.95698925,0.04940722,13
210,-2.94721408,0.04986835,13
211,-2.93743891,0.05033355,13
212,-2.92766373,0.05080287,13
213,-2.91788856,0.05127632,13
214,-2.90811339,0.05175394,13
215,-2.89833822,0.05223577,13
216,-2.88856305,0.05272184,13
217,-2.87878788,0.05321217,14
218,-2.86901271,0.05370681,14
219,-2.85923754,0.05420578,14
220,-2.84946237,0.05470911,14
221,-2.83968719,0.05521685,14
222,-2.82991202,0.05572903,14
223,-2.82013685,0.05624567,14
224,-2.81036168,0.05676681,15
225,-2.80058651,0.05729249,15
226,-2.79081134,0.05782274,15
227,-2.78103617,0.05835759,15
228,-2.77126100,0.05889708,15
229,-2.76148583,0.05944124,15
230,-2.75171065,0.05999011,15
231,-2.74193548,0.06054372,15
232,-2.73216031,0.06110211,16
233,-2.72238514,0.06166531,16
234,-2.71260997,0.06223336,16
235,-2.70283480,0.06280629,16
236,-2.69305963,0.06338414,16
237,-2.68328446,0.06396694,16
238,-2.67350929,0.06455473,17
239,-2.66373412,0.06514754,17
240,-2.65395894,0.06574542,17
241,-2.64418377,0.06634840,17
242,-2.63440860,0.06695650,17
243,-2.62463343,0.06756978,17
244,-2.61485826,0.06818827,17
245,-2.60508309,0.06881200,18
246,-2.59530792,0.06944101,18
247,-2.58553275,0.07007533,18
248,-2.57575758,0.07071501,18
249,-2.56598240,0.07136008,18
250,-2.55620723,0.07201058,18
251,-2.54643206,0.07266655,19
252,-2.53665689,0.07332802,19
253,-2.52688172,0.07399503,19
254,-2.51710655,0.07466761,19
255,-2.50733138,0.07534582,19
256,-2.49755621,0.07602968,19
257,-2.48778104,0.07671923,20
258,-2.47800587,0.07741451,20
259,-2.46823069,0.07811555,20
260,-2.45845552,0.07882241,20
261,-2.44868035,0.07953511,20
262,-2.43890518,0.08025369,21
263,-2.42913001,0.08097819,21
264,-2.41935484,0.08170865,21
265,-2.40957967,0.08244511,21
266,-2.39980450,0.08318761,21
267,-2.39002933,0.08393618,21
268,-2.38025415,0.08469086,22
269,-2.37047898,0.08545170,22
270,-2.36070381,0.08621873,22
271,-2.35092864,0.08699199,22
272,-2.34115347,0.08777152,22
273,-2.33137830,0.08855735,23
274,-2.32160313,0.08934953,23
275,-2.31182796,0.09014810,23
276,-2.30205279,0.09095309,23
277,-2.29227761,0.09176455,23
278,-2.28250244,0.09258251,24
279,-2.27272727,0.09340700,24
280,-2.26295210,0.09423808,24
281,-2.25317693,0.09507578,24
282,-2.24340176,0.09592014,25
283,-2.23362659,0.09677119,25
284,-2.22385142,0.09762898,25
285,-2.21407625,0.09849354,25
286,-2.20430108,0.09936492,25
287,-2.19452590,0.10024314,26
288,-2.18475073,0.10112826,26
289,-2.17497556,0.10202031,26
290,-2.16520039,0.10291932,26
291,-2.15542522,0.10382534,27
292,-2.14565005,0.10473841,27
293,-2.13587488,0.10565856,27
294,-2.12609971,0.10658583,27
295,-2.11632454,0.10752026,28
296,-2.10654936,0.10846189,28
297,-2.09677419,0.10941075,28
298,-2.08699902,0.11036688,28
299,-2.07722385,0.11133033,29
300,-2.06744868,0.11230113,29
301,-2.05767351,0.11327931,29
302,-2.04789834,0.11426491,29
303,-2.03812317,0.11525798,30
304,-2.02834800,0.11625855,30
305,-2.01857283,0.11726664,30
306,-2.00879765,0.11828231,30
307,-1.99902248,0.11930559,31
