Address_Index,Input_Z_Sample,Output_Tanh,LUT_Value_Q1_7_8
399,-1.09970674,-0.80039366,-205
400,-1.08993157,-0.79685317,-204
401,-1.08015640,-0.79325709,-203
402,-1.07038123,-0.78960481,-202
403,-1.06060606,-0.78589571,-201
404,-1.05083089,-0.78212918,-200
405,-1.04105572,-0.77830462,-199
406,-1.03128055,-0.77442141,-198
407,-1.02150538,-0.77047897,-197
408,-1.01173021,-0.76647670,-196
409,-1.00195503,-0.76241400,-195
410,-0.99217986,-0.75829029,-194
411,-0.98240469,-0.75410499,-193
412,-0.97262952,-0.74985754,-192
413,-0.96285435,-0.74554735,-191
414,-0.95307918,-0.74117389,-190
415,-0.94330401,-0.73673659,-189
416,-0.93352884,-0.73223492,-187
417,-0.92375367,-0.72766834,-186
418,-0.91397849,-0.72303633,-185
419,-0.90420332,-0.71833839,-184
420,-0.89442815,-0.71357400,-183
421,-0.88465298,-0.70874268,-181
422,-0.87487781,-0.70384395,-180
423,-0.86510264,-0.69887735,-179
424,-0.85532747,-0.69384243,-178
425,-0.84555230,-0.68873874,-176
426,-0.83577713,-0.68356587,-175
427,-0.82600196,-0.67832340,-174
428,-0.81622678,-0.67301095,-172
429,-0.80645161,-0.66762814,-171
430,-0.79667644,-0.66217462,-170
431,-0.78690127,-0.65665003,-168
432,-0.77712610,-0.65105407,-167
433,-0.76735093,-0.64538642,-165
434,-0.75757576,-0.63964681,-164
435,-0.74780059,-0.63383498,-162
436,-0.73802542,-0.62795068,-161
437,-0.72825024,-0.62199370,-159
438,-0.71847507,-0.61596384,-158
439,-0.70869990,-0.60986093,-156
440,-0.69892473,-0.60368482,-155
441,-0.68914956,-0.59743539,-153
442,-0.67937439,-0.59111253,-151
443,-0.66959922,-0.58471619,-150
444,-0.65982405,-0.57824631,-148
445,-0.65004888,-0.57170287,-146
446,-0.64027370,-0.56508589,-145
447,-0.63049853,-0.55839540,-143
448,-0.62072336,-0.55163147,-141
449,-0.61094819,-0.54479421,-139
450,-0.60117302,-0.53788374,-138
451,-0.59139785,-0.53090021,-136
452,-0.58162268,-0.52384383,-134
453,-0.57184751,-0.51671480,-132
454,-0.56207234,-0.50951340,-130
455,-0.55229717,-0.50223991,-129
456,-0.54252199,-0.49489465,-127
457,-0.53274682,-0.48747798,-125
458,-0.52297165,-0.47999028,-123
459,-0.51319648,-0.47243200,-121
460,-0.50342131,-0.46480358,-119
461,-0.49364614,-0.45710553,-117
462,-0.48387097,-0.44933838,-115
463,-0.47409580,-0.44150269,-113
464,-0.46432063,-0.43359909,-111
465,-0.45454545,-0.42562820,-109
466,-0.44477028,-0.41759071,-107
467,-0.43499511,-0.40948733,-105
468,-0.42521994,-0.40131882,-103
469,-0.41544477,-0.39308597,-101
470,-0.40566960,-0.38478961,-99
471,-0.39589443,-0.37643061,-96
472,-0.38611926,-0.36800986,-94
473,-0.37634409,-0.35952831,-92
474,-0.36656891,-0.35098694,-90
475,-0.35679374,-0.34238676,-88
476,-0.34701857,-0.33372881,-85
